teamID,yearID,park_factor_R,park_factor_H,park_factor_HR
ARI,2021,114,106,123
ATL,2021,114,105,137
BAL,2021,112,108,107
BOS,2021,112,109,97
CHN,2021,104,101,105
CHA,2021,104,100,127
CIN,2021,104,107,86
CLE,2021,104,97,123
COL,2021,104,101,112
DET,2021,102,101,85
HOU,2021,102,106,90
KCA,2021,102,101,106
LAA,2021,100,101,105
LAN,2021,100,99,101
MIA,2021,100,98,102
MIL,2021,100,99,112
MIN,2021,98,96,109
NYN,2021,98,99,100
NYA,2021,98,99,99
OAK,2021,98,100,85
PHI,2021,96,98,94
PIT,2021,96,99,97
SDN,2021,94,97,78
SEA,2021,92,96,92
SFN,2021,92,95,87
SLN,2021,92,99,95
TBA,2021,90,94,84
TEX,2021,90,96,89
TOR,2021,88,93,96
WAS,2021,88,98,82
