"","playerID","bbrefID"
"1","aardsda01","aardsda01"
"2","aaronha01","aaronha01"
"3","aaronto01","aaronto01"
"4","aasedo01","aasedo01"
"5","abadan01","abadan01"
"6","abadfe01","abadfe01"
"7","abadijo01","abadijo01"
"8","abbated01","abbated01"
"9","abbeybe01","abbeybe01"
"10","abbeych01","abbeych01"
"11","abbotco01","abbotco01"
"12","abbotda01","abbotda01"
"13","abbotfr01","abbotfr01"
"14","abbotgl01","abbotgl01"
"15","abbotje01","abbotje01"
"16","abbotji01","abbotji01"
"17","abbotku01","abbotku01"
"18","abbotky01","abbotky01"
"19","abbotod01","abbotod01"
"20","abbotpa01","abbotpa01"
"21","aberal01","aberal01"
"22","abercda01","abercda01"
"23","abercre01","abercre01"
"24","abernbi01","abernbi01"
"25","abernbr01","abernbr01"
"26","abernte01","abernte01"
"27","abernte02","abernte02"
"28","abernwo01","abernwo01"
"29","aberscl01","aberscl01"
"30","ablesha01","ablesha01"
"31","abnersh01","abnersh01"
"32","abramca01","abramca01"
"33","abramge01","abramge01"
"34","abregjo01","abregjo01"
"35","abreual01","abreual01"
"36","abreubo01","abreubo01"
"37","abreubr01","abreubr01"
"38","abreujo01","abreujo01"
"39","abreujo02","abreujo02"
"40","abreuju01","abreuju01"
"41","abreuto01","abreuto01"
"42","abreuwi01","abreuwi01"
"43","abstebi01","abstebi01"
"44","accarje01","accarje01"
"45","aceveal01","aceveal01"
"46","acevedo01","acevedo01"
"47","acevejo01","acevejo01"
"48","aceveju01","aceveju01"
"49","achteaj01","achteaj01"
"50","ackerji01","ackerji01"
"51","ackerto01","ackerto01"
"52","ackledu01","ackledu01"
"53","acklefr01","acklefr01"
"54","acostcy01","acostcy01"
"55","acosted01","acosted01"
"56","acostjo01","acostjo01"
"57","acostma01","acostma01"
"58","acostme01","acostme01"
"59","acrema01","acrema01"
"60","actama99","actama99"
"61","acunaro01","acunaro01"
"62","adairbi99","adairbi99"
"63","adairje01","adairje01"
"64","adairji01","adairji01"
"65","adamecr01","adamecr01"
"66","adamewi01","adamewi01"
"67","adamja01","adamja01"
"68","adamsac01","adamsac01"
"69","adamsau01","adamsau01"
"70","adamsau02","adamsau02"
"71","adamsba01","adamsba01"
"72","adamsbe01","adamsbe01"
"73","adamsbo01","adamsbo01"
"74","adamsbo02","adamsbo02"
"75","adamsbo03","adamsbo03"
"76","adamsbo04","adamsbo04"
"77","adamsbu01","adamsbu01"
"78","adamsch01","adamsch01"
"79","adamsda01","adamsda01"
"80","adamsda02","adamsda02"
"81","adamsdi01","adamsdi01"
"82","adamsdo01","adamsdo01"
"83","adamsge01","adamsge01"
"84","adamsgl01","adamsgl01"
"85","adamshe01","adamshe01"
"86","adamsji01","adamsji01"
"87","adamsjo01","adamsjo01"
"88","adamsjo02","adamsjo02"
"89","adamska01","adamska01"
"90","adamsla01","adamsla01"
"91","adamsma01","adamsma01"
"92","adamsmi01","adamsmi01"
"93","adamsmi02","adamsmi02"
"94","adamsmi03","adamsmi03"
"95","adamsre01","adamsre01"
"96","adamsri01","adamsri01"
"97","adamsri02","adamsri02"
"98","adamsri03","adamsri03"
"99","adamsru01","adamsru01"
"100","adamsry01","adamsry01"
"101","adamssp01","adamssp01"
"102","adamssp02","adamssp02"
"103","adamste01","adamste01"
"104","adamswi01","adamswi01"
"105","adamswi02","adamswi02"
"106","adcocjo01","adcocjo01"
"107","adcocna01","adcocna01"
"108","addisbo01","addisbo01"
"109","adducji01","adducji01"
"110","adducji02","adducji02"
"111","addybo01","addybo01"
"112","adelljo01","adelljo01"
"113","adenhni01","adenhni01"
"114","aderhmo01","aderhmo01"
"115","adkinde01","adkinde01"
"116","adkindi01","adkindi01"
"117","adkindo01","adkindo01"
"118","adkingr01","adkingr01"
"119","adkinhe01","adkinhe01"
"120","adkinjo01","adkinjo01"
"121","adkinst01","adkinst01"
"122","adlemti01","adlemti01"
"123","adlesda01","adlesda01"
"124","adonjo01","adonjo01"
"125","adriaeh01","adriaeh01"
"126","afenitr01","afenitr01"
"127","affelje01","affelje01"
"128","agbaybe01","agbaybe01"
"129","ageeto01","ageeto01"
"130","agganha01","agganha01"
"131","aglerjo01","aglerjo01"
"132","agnewsa01","agnewsa01"
"133","agostju01","agostju01"
"134","agrazda01","agrazda01"
"135","aguaylu01","aguaylu01"
"136","aguilch01","aguilch01"
"137","aguilje01","aguilje01"
"138","aguilmi01","aguilmi01"
"139","aguilri01","aguilri01"
"140","aguirha01","aguirha01"
"141","ahearch01","ahearch01"
"142","ahearpa01","ahearpa01"
"143","ahmedni01","ahmedni01"
"144","aikenwi01","aikenwi01"
"145","aingeda01","aingeda01"
"146","ainsmed01","ainsmed01"
"147","ainswku01","ainswku01"
"148","aitchra01","aitchra01"
"149","aitonge01","aitonge01"
"150","akejo01","akejo01"
"151","akerfda01","akerfda01"
"152","akerja01","akerja01"
"153","akersbi01","akersbi01"
"154","akersje01","akersje01"
